sample id,sample_name,sample number,collection date,Week,Tempreture,Second Tempreture,Expermint,Description,Material_type,temp
ST7_7,ST7,7,12/15/2021,1,31.9,32,ST,Steel Test,Steel,warm
PT7_8,PT7,8,12/15/2021,1,31,31.1,PT,PVC Test,PVC,warm
CT7_9,CT7,9,12/15/2021,1,30.2,30.2,CT,Copper Test,Copper,warm
CC7_10,CC7,10,12/15/2021,1,23.9,22.9,CC,Copper Control,Copper,cold
PC7_11,PC7,11,12/15/2021,1,22.9,23.8,PC,PVC Control,PVC,cold
SC7_12,SC7,12,12/15/2021,1,23.5,23.4,SC,Steel Control,Steel,cold
ST8_13,ST8,13,12/18/2021,1,31.9,31.8,ST,Steel Test,Steel,warm
PT8_14,PT8,14,12/18/2021,1,31.1,30.9,PT,PVC Test,PVC,warm
CT8_15,CT8,15,12/18/2021,1,29.8,29.8,CT,Copper Test,Copper,warm
CC8_16,CC8,16,12/18/2021,1,23.2,23.1,CC,Copper Control,Copper,cold
PC8_17,PC8,17,12/18/2021,1,22.6,22.6,PC,PVC Control,PVC,cold
SC8_18,SC8,18,12/18/2021,1,22.8,22.8,SC,Steel Control,Steel,cold
ST9_19,ST9,19,12/22/2021,2,31.8,31.6,ST,Steel Test,Steel,warm
PT9_20,PT9,20,12/22/2021,2,30.1,30.8,PT,PVC Test,PVC,warm
CT9_21,CT9,21,12/22/2021,2,29.8,29.7,CT,Copper Test,Copper,warm
CC9_22,CC9,22,12/22/2021,2,23.2,23.2,CC,Copper Control,Copper,cold
PC9_23,PC9,23,12/22/2021,2,22.8,22.8,PC,PVC Control,PVC,cold
SC9_24,SC9,24,12/22/2021,2,22.7,22.7,SC,Steel Control,Steel,cold
ST10_25,ST10,25,12/25/2021,2,31.5,31.4,ST,Steel Test,Steel,warm
PT10_26,PT10,26,12/25/2021,2,30.8,30.6,PT,PVC Test,PVC,warm
CT10_27,CT10,27,12/25/2021,2,29.7,29.6,CT,Copper Test,Copper,warm
CC10_28,CC10,28,12/25/2021,2,23.3,23.3,CC,Copper Control,Copper,cold
PC10_29,PC10,29,12/25/2021,2,22.9,22.9,PC,PVC Control,PVC,cold
SC10_30,SC10,30,12/25/2021,2,22.5,22.5,SC,Steel Control,Steel,cold
ST11_31,ST11,31,12/29/2021,3,316,31.6,ST,Steel Test,Steel,warm
PT11_32,PT11,32,12/29/2021,3,30.9,30.9,PT,PVC Test,PVC,warm
CT11_33,CT11,33,12/29/2021,3,30,30,CT,Copper Test,Copper,warm
CC11_34,CC11,34,12/29/2021,3,23.6,23.6,CC,Copper Control,Copper,cold
PC11_35,PC11,35,12/29/2021,3,23.2,23.2,PC,PVC Control,PVC,cold
SC11_36,SC11,36,12/29/2021,3,22.9,22.9,SC,Steel Control,Steel,cold
ST12_37,ST12,37,1/5/2022,4,31.3,30.3,ST,Steel Test,Steel,warm
PT12_38,PT12,38,1/5/2022,4,30.1,28.6,PT,PVC Test,PVC,warm
CT12_39,CT12,39,1/5/2022,4,29.4,28.8,CT,Copper Test,Copper,warm
CC12_40,CC12,40,1/5/2022,4,23.3,23.3,CC,Copper Control,Copper,cold
PC12_41,PC12,41,1/5/2022,4,23.1,22.9,PC,PVC Control,PVC,cold
SC12_42,SC12,42,1/5/2022,4,22.9,22.8,SC,Steel Control,Steel,cold
ST13_43,ST13,43,1/8/2022,4,31.4,31.5,ST,Steel Test,Steel,warm
PT13_44,PT13,44,1/8/2022,4,30.7,30.7,PT,PVC Test,PVC,warm
CT13_45,CT13,45,1/8/2022,4,29.8,29.8,CT,Copper Test,Copper,warm
CC13_46,CC13,46,1/8/2022,4,23.5,23.5,CC,Copper Control,Copper,cold
PC13_47,PC13,47,1/8/2022,4,23.1,23.1,PC,PVC Control,PVC,cold
SC13_48,SC13,48,1/8/2022,4,22.9,22.9,SC,Steel Control,Steel,cold
ST14_49,ST14,49,1/12/2022,5,31,31.6,ST,Steel Test,Steel,warm
PT14_50,PT14,50,1/12/2022,5,31.2,30.8,PT,PVC Test,PVC,warm
CT14_51,CT14,51,1/12/2022,5,32.6,32.5,CT,Copper Test,Copper,warm
CC14_52,CC14,52,1/12/2022,5,23.2,23.2,CC,Copper Control,Copper,cold
PC14_53,PC14,53,1/12/2022,5,22.3,22.3,PC,PVC Control,PVC,cold
SC14_54,SC14,54,1/12/2022,5,22.4,22.3,SC,Steel Control,Steel,cold
ST15_55,ST15,55,1/15/2022,5,31.3,31.3,ST,Steel Test,Steel,warm
PT15_56,PT15,56,1/15/2022,5,30.6,30.6,PT,PVC Test,PVC,warm
CT15_57,CT15,57,1/15/2022,5,29.6,29.5,CT,Copper Test,Copper,warm
CC15_58,CC15,58,1/15/2022,5,23.4,23.4,CC,Copper Control,Copper,cold
PC15_59,PC15,59,1/15/2022,5,23.1,23.1,PC,PVC Control,PVC,cold
SC15_60,SC15,60,1/15/2022,5,22.9,22.8,SC,Steel Control,Steel,cold
ST16_61,ST16,61,1/19/2022,6,31.7,31.6,ST,Steel Test,Steel,warm
PT16_62,PT16,62,1/19/2022,6,30.6,30.8,PT,PVC Test,PVC,warm
CT16_63,CT16,63,1/19/2022,6,32.3,32.5,CT,Copper Test,Copper,warm
CC16_64,CC16,64,1/19/2022,6,23,23,CC,Copper Control,Copper,cold
PC16_65,PC16,65,1/19/2022,6,22.1,22.1,PC,PVC Control,PVC,cold
